KLDO data file V101
[{PARAMETERS}]
[{TotalTime}]
10:30

[{PreTemp}]
210

[{CookDate}]
26-04-19 17:08:29

[{Comment}]
sim

[{EVENT}]
[{StartBeansIn}]
210@00:00

[{TemperBack}]
102@00:43

[{TurntoYellow}]
150@03:28

[{1stBoomStart}]


[{1stBoomEnd}]

[{2ndBoomStart}]

[{2ndBoomEnd}]

[{BeansColdDown}]
240@10:30

[{DATA}]
Index,Time,BT,ET,RoR,SV,HPM,HP,SM,RL,PS
296,296000,180,343,19.54,0,M,80,30,70,O
297,297000,181,343,19.45,0,M,80,30,70,O
298,298000,181,344,19.37,0,M,80,30,70,O
299,299000,181,344,19.29,0,M,80,30,70,O
300,300000,181,344,19.21,0,M,80,30,70,O
301,301000,182,345,19.13,0,M,80,30,70,O
302,302000,182,345,19.05,0,M,80,35,70,O
303,303000,182,345,18.97,0,M,80,35,70,O
304,304000,183,346,18.90,0,M,80,35,70,O
305,305000,183,346,18.83,0,M,80,35,70,O
306,306000,183,346,18.77,0,M,80,35,70,O
307,307000,184,347,18.70,0,M,80,35,70,O
308,308000,184,347,18.64,0,M,80,35,70,O
309,309000,184,347,18.58,0,M,80,35,70,O
310,310000,184,348,18.53,0,M,80,35,70,O
311,311000,185,348,18.47,0,M,80,35,70,O
312,312000,185,348,18.42,0,M,80,35,70,O
313,313000,185,348,18.37,0,M,80,35,70,O
314,314000,186,349,18.32,0,M,80,35,70,O
315,315000,186,349,18.27,0,M,80,35,70,O
316,316000,186,349,18.22,0,M,80,35,70,O
317,317000,186,350,18.18,0,M,80,35,70,O
318,318000,187,350,18.13,0,M,80,35,70,O
319,319000,187,350,18.09,0,M,80,35,70,O
320,320000,187,351,18.04,0,M,75,35,70,O
321,321000,188,351,17.99,0,M,75,35,70,O
322,322000,188,351,17.94,0,M,75,35,70,O
323,323000,188,351,17.88,0,M,75,35,70,O
324,324000,188,352,17.83,0,M,75,35,70,O
325,325000,189,352,17.77,0,M,75,35,70,O
326,326000,189,352,17.71,0,M,75,35,70,O
327,327000,189,352,17.65,0,M,75,35,70,O
328,328000,190,353,17.59,0,M,75,35,70,O
329,329000,190,353,17.53,0,M,75,35,70,O
330,330000,190,353,17.47,0,M,75,35,70,O
331,331000,190,354,17.40,0,M,75,35,70,O
332,332000,191,354,17.34,0,M,75,35,70,O
333,333000,191,354,17.28,0,M,75,35,70,O
334,334000,191,354,17.22,0,M,75,35,70,O
335,335000,191,355,17.16,0,M,75,35,70,O
336,336000,192,355,17.10,0,M,75,35,70,O
337,337000,192,355,17.04,0,M,75,35,70,O
338,338000,192,355,16.98,0,M,75,35,70,O
339,339000,192,356,16.93,0,M,75,35,70,O
340,340000,193,356,16.87,0,M,75,35,70,O
341,341000,193,356,16.81,0,M,75,35,70,O
342,342000,193,356,16.76,0,M,75,35,70,O
343,343000,194,357,16.70,0,M,75,35,70,O
344,344000,194,357,16.65,0,M,75,35,70,O
345,345000,194,357,16.60,0,M,75,35,70,O
346,346000,194,357,16.54,0,M,75,35,70,O
347,347000,195,358,16.49,0,M,75,35,70,O
348,348000,195,358,16.44,0,M,75,35,70,O
349,349000,195,358,16.39,0,M,75,35,70,O
350,350000,195,358,16.35,0,M,75,35,70,O
351,351000,196,359,16.30,0,M,75,35,70,O
352,352000,196,359,16.25,0,M,75,35,70,O
353,353000,196,359,16.21,0,M,75,35,70,O
354,354000,196,359,16.16,0,M,75,35,70,O
355,355000,197,360,16.12,0,M,75,35,70,O
356,356000,197,360,16.07,0,M,75,35,70,O
357,357000,197,360,16.03,0,M,75,35,70,O
358,358000,197,360,15.99,0,M,75,35,70,O
359,359000,198,361,15.94,0,M,75,35,70,O
360,360000,198,361,15.90,0,M,75,35,70,O
361,361000,198,361,15.86,0,M,75,35,70,O
362,362000,198,361,15.82,0,M,75,35,70,O
363,363000,199,362,15.79,0,M,75,35,70,O
364,364000,199,362,15.75,0,M,75,35,70,O
365,365000,199,362,15.71,0,M,75,35,70,O
366,366000,199,362,15.67,0,M,75,35,70,O
367,367000,200,363,15.64,0,M,75,35,70,O
368,368000,200,363,15.60,0,M,75,35,70,O
369,369000,200,363,15.56,0,M,75,35,70,O
370,370000,200,363,15.53,0,M,75,35,70,O
371,371000,201,363,15.50,0,M,75,35,70,O
372,372000,201,364,15.46,0,M,75,35,70,O
373,373000,201,364,15.42,0,M,70,35,70,O
374,374000,201,364,15.38,0,M,70,35,70,O
375,375000,202,364,15.34,0,M,70,35,70,O
376,376000,202,364,15.29,0,M,70,40,70,O
377,377000,202,365,15.24,0,M,70,40,70,O
378,378000,202,365,15.19,0,M,70,40,70,O
379,379000,203,365,15.14,0,M,70,40,70,O
380,380000,203,365,15.09,0,M,70,40,70,O
381,381000,203,365,15.04,0,M,70,40,70,O
382,382000,203,366,14.99,0,M,70,40,70,O
383,383000,203,366,14.94,0,M,70,40,70,O
384,384000,204,366,14.89,0,M,70,40,70,O
385,385000,204,366,14.83,0,M,70,40,70,O
386,386000,204,366,14.78,0,M,70,40,70,O
387,387000,204,366,14.73,0,M,70,40,70,O
388,388000,205,367,14.68,0,M,70,40,70,O
389,389000,205,367,14.63,0,M,70,40,70,O
390,390000,205,367,14.59,0,M,70,40,70,O
391,391000,205,367,14.54,0,M,70,40,70,O
392,392000,206,367,14.49,0,M,70,40,70,O
393,393000,206,368,14.44,0,M,70,40,70,O
394,394000,206,368,14.40,0,M,70,40,70,O
395,395000,206,368,14.35,0,M,70,40,70,O
396,396000,206,368,14.30,0,M,70,40,70,O
397,397000,207,368,14.26,0,M,70,40,70,O
398,398000,207,368,14.22,0,M,70,40,70,O
399,399000,207,369,14.17,0,M,70,40,70,O
400,400000,207,369,14.13,0,M,70,40,70,O
401,401000,208,369,14.09,0,M,70,40,70,O
402,402000,208,369,14.05,0,M,70,40,70,O
403,403000,208,369,14.00,0,M,70,40,70,O
404,404000,208,370,13.96,0,M,70,40,70,O
405,405000,208,370,13.92,0,M,70,40,70,O
406,406000,209,370,13.89,0,M,70,40,70,O
407,407000,209,370,13.85,0,M,70,40,70,O
408,408000,209,370,13.81,0,M,70,40,70,O
409,409000,209,370,13.77,0,M,70,40,70,O
410,410000,210,371,13.73,0,M,70,40,70,O
411,411000,210,371,13.70,0,M,70,40,70,O
412,412000,210,371,13.66,0,M,70,40,70,O
413,413000,210,371,13.63,0,M,70,40,70,O
414,414000,210,371,13.59,0,M,70,40,70,O
415,415000,211,371,13.56,0,M,70,40,70,O
416,416000,211,372,13.52,0,M,70,40,70,O
417,417000,211,372,13.49,0,M,70,40,70,O
418,418000,211,372,13.46,0,M,70,40,70,O
419,419000,211,372,13.42,0,M,70,40,70,O
420,420000,212,372,13.39,0,M,70,40,70,O
421,421000,212,373,13.36,0,M,70,40,70,O
422,422000,212,373,13.32,0,M,65,40,70,O
423,423000,212,373,13.28,0,M,65,40,70,O
424,424000,213,373,13.24,0,M,65,40,70,O
425,425000,213,373,13.19,0,M,65,40,70,O
426,426000,213,373,13.14,0,M,65,45,70,O
427,427000,213,373,13.09,0,M,65,45,70,O
428,428000,213,373,13.04,0,M,65,45,70,O
429,429000,214,373,12.98,0,M,65,45,70,O
430,430000,214,373,12.93,0,M,65,45,70,O
431,431000,214,374,12.87,0,M,65,45,70,O
432,432000,214,374,12.82,0,M,65,45,70,O
433,433000,214,374,12.76,0,M,65,45,70,O
434,434000,214,374,12.71,0,M,65,45,70,O
435,435000,215,374,12.65,0,M,65,45,70,O
436,436000,215,374,12.60,0,M,65,45,70,O
437,437000,215,374,12.54,0,M,65,45,70,O
438,438000,215,374,12.49,0,M,65,45,70,O
439,439000,215,374,12.43,0,M,65,45,70,O
440,440000,216,375,12.38,0,M,65,45,70,O
441,441000,216,375,12.33,0,M,65,45,70,O
442,442000,216,375,12.28,0,M,65,45,70,O
443,443000,216,375,12.23,0,M,65,45,70,O
444,444000,216,375,12.18,0,M,65,45,70,O
445,445000,217,375,12.13,0,M,65,45,70,O
446,446000,217,375,12.08,0,M,65,45,70,O
447,447000,217,375,12.03,0,M,65,45,70,O
448,448000,217,375,11.98,0,M,65,45,70,O
449,449000,217,375,11.93,0,M,65,45,70,O
450,450000,218,376,11.89,0,M,65,45,70,O
451,451000,218,376,11.84,0,M,65,45,70,O
452,452000,218,376,11.80,0,M,65,45,70,O
453,453000,218,376,11.75,0,M,65,45,70,O
454,454000,218,376,11.71,0,M,65,45,70,O
455,455000,218,376,11.67,0,M,65,45,70,O
456,456000,219,376,11.63,0,M,65,45,70,O
457,457000,219,376,11.59,0,M,65,45,70,O
458,458000,219,376,11.54,0,M,60,45,70,O
459,459000,219,376,11.49,0,M,60,45,70,O
460,460000,219,376,11.44,0,M,60,45,70,O
461,461000,219,376,11.38,0,M,60,50,70,O
462,462000,220,376,11.32,0,M,60,50,70,O
463,463000,220,376,11.26,0,M,60,50,70,O
464,464000,220,376,11.20,0,M,60,50,70,O
465,465000,220,376,11.13,0,M,60,50,70,O
466,466000,220,376,11.07,0,M,60,50,70,O
467,467000,220,377,11.01,0,M,60,50,70,O
468,468000,221,377,10.94,0,M,60,50,70,O
469,469000,221,377,10.87,0,M,60,50,70,O
470,470000,221,377,10.81,0,M,60,50,70,O
471,471000,221,377,10.74,0,M,60,50,70,O
472,472000,221,377,10.68,0,M,60,50,70,O
473,473000,221,377,10.61,0,M,60,50,70,O
474,474000,222,377,10.55,0,M,60,50,70,O
475,475000,222,377,10.49,0,M,60,50,70,O
476,476000,222,377,10.43,0,M,60,50,70,O
477,477000,222,377,10.36,0,M,60,50,70,O
478,478000,222,377,10.30,0,M,60,50,70,O
479,479000,222,377,10.25,0,M,60,45,70,O
480,480000,223,377,10.19,0,M,60,45,70,O
481,481000,223,377,10.13,0,M,60,45,70,O
482,482000,223,377,10.08,0,M,60,45,70,O
483,483000,223,377,10.02,0,M,60,40,70,O
484,484000,223,377,9.97,0,M,60,40,70,O
485,485000,223,377,9.92,0,M,60,40,70,O
486,486000,223,377,9.87,0,M,60,40,70,O
487,487000,224,377,9.82,0,M,60,40,70,O
488,488000,224,377,9.76,0,M,60,50,70,O
489,489000,224,377,9.71,0,M,60,50,70,O
490,490000,224,377,9.66,0,M,60,50,70,O
491,491000,224,377,9.62,0,M,60,50,70,O
492,492000,224,377,9.56,0,M,55,50,70,O
493,493000,224,377,9.51,0,M,55,50,70,O
494,494000,225,377,9.45,0,M,55,50,70,O
495,495000,225,377,9.38,0,M,55,50,70,O
496,496000,225,377,9.32,0,M,55,50,70,O
497,497000,225,377,9.25,0,M,55,50,70,O
498,498000,225,377,9.18,0,M,55,50,70,O
499,499000,225,377,9.11,0,M,55,50,70,O
500,500000,225,377,9.04,0,M,55,50,70,O
501,501000,225,377,8.97,0,M,55,50,70,O
502,502000,226,377,8.90,0,M,55,50,70,O
503,503000,226,377,8.83,0,M,55,50,70,O
504,504000,226,377,8.76,0,M,55,50,70,O
505,505000,226,377,8.70,0,M,55,50,70,O
506,506000,226,377,8.63,0,M,55,50,70,O
507,507000,226,377,8.55,0,M,50,50,70,O
508,508000,226,376,8.48,0,M,50,50,70,O
509,509000,226,376,8.39,0,M,50,50,70,O
